	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
time	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
IL18	8.74349144746182	7.9969793611308	7.87684613672962	7.99515605522278	8.26461339660881	7.93905546358766	8.15233740843578
MCSF	7.5289697976294	5.99800343290986	5.93457927880982	6.30085424007091	6.54449008421348	6.06368929395551	6.227718888663
MCP3	6.41547054052642	5.46357486874627	5.46025566432768	5.64996786681678	6.02560437652296	5.48549176378791	5.7884224347664
MIG	7.74936635102387	6.10071171254065	6.02072732462355	6.24945308336719	7.50136173168654	6.07176196538569	6.577802568258
RESISTIN	10.9234232685392	10.5383545039422	10.5418744265283	10.4095816252983	10.4778884360714	10.4532912765148	10.734352644048
IL21	6.71537332015891	5.30573632948768	5.56653434730192	5.7119069047408	6.7860557895115	5.54588309520717	5.70099377334962
ICAM1	10.2657658916796	8.4252812333541	9.58069398868169	9.80266966848175	10.1637765503246	9.83902679909421	10.1070522035197
VCAM1	13.9997158130743	13.9743200613446	13.9752735957919	13.9680788058309	13.9582537356048	13.9419539903937	13.9729342259244
FGFB	7.28069712841542	5.89184733893064	5.72612063459034	6.10884079014725	6.19772359043717	5.9259470722478	5.98825627744008
IL22	7.95032938481512	7.37912706000277	7.44527417119081	7.42350576233046	7.78795273506281	7.59437784428022	8.20880010826599
PDGFBB	8.12787873616278	7.27154400315168	7.30556437929764	7.53384109909022	7.93471499397832	7.92632302287499	8.15162111507821
VEGF	9.24343077380249	8.31657348774085	8.49524919329479	8.52560967951429	9.19516054958255	8.48399315563143	8.79959732232518
LEPTIN	10.7998101084432	11.1010301221443	11.5574134405031	11.697051634928	11.7071582561906	11.9679745979384	11.8576983288327
PAI1	12.9249490231855	12.9475040788056	12.9978037191667	13.0274461294923	13.009422174124	13.0051813390416	13.0545406137806
CD40L	8.43437408310104	8.13106857515241	8.09092088190147	8.3787988559118	8.65905717229266	8.40937126777543	8.55717460643923
ENA78	9.12018697605562	8.86661969029169	9.14714234409363	9.11078818292295	9.02247355928988	9.10784182770962	9.03247035852076
CHEX1	13.3065410325637	13.3115170888265	13.316717026543	13.3324963218915	13.32362044499	13.3128344209463	13.3052144589609
CHEX2	9.72356282582567	9.40570258351922	9.50526467635558	9.34092164750278	9.28116698330505	9.33852844946209	9.46578368342105
CHEX3	10.1485590993921	10.2134764254939	10.2699450279067	10.1455692619579	10.1308512659633	10.1601160172849	10.2161943696151
CHEX4	4.18073585811238	3.86933813721788	3.97490715870678	4.14390051285883	3.97474795953828	3.92547581967865	4.20793693594142
