"SYMBOL","UNIPROT"
"TGFBI","A0A0S2Z4Q2"
"TGFBI","Q15582"
"ADIPOQ","A8K660"
"ADIPOQ","B2R773"
"ADIPOQ","Q15848"
"ECM1","Q16610"
"ECM1","A0A140VJI7"
"ACTBL2","Q562R1"
"FRMPD1","Q5SYB0"
"VASN","Q6EMK4"
"PI16","Q6UXB8"
"NPHP3","Q7Z494"
"SLFN11","Q7Z7L1"
"FERMT3","Q86UX7"
"PSTK","Q8IV42"
"GPR116",NA
"ABCF1","A0A1U9X609"
"ABCF1","Q8NE71"
"ABCF1","Q2L6I2"
"TTN","Q8WZ42"
"TTN","A0A0A0MTS7"
"TTN","Q7Z3B7"
"TTN","A0A0A0MRA3"
"CTTNBP2","Q20BG9"
"CTTNBP2","Q8WZ74"
"CFHR4","Q92496"
"FAM3C","Q92520"
"NUP205","Q92621"
"RYR2","Q92736"
"PRG4","Q92954"
"PRG4","A0A0U1RR20"
"PRG4.1",NA
"CPB2","A0A087WSY5"
"CPB2","Q96IY4"
"CNDP1","Q96KN2"
"SCLT1","Q96NL6"
"SCLT1","D6RBA6"
"PGLYRP2","Q96PD5"
"CDK5RAP2","B9EG74"
"CDK5RAP2","Q96SN8"
"CDK5RAP2","A0A0A0MRG9"
"CDK5RAP2","Q7Z3M0"
"CDK5RAP2","B3KVI2"
"OLFM1","Q99784"
"OLFM1","Q6IMJ7"
"OLFM1","Q6IMJ8"
"SH3GL3","A0A024R215"
"SH3GL3","Q99963"
"COLEC11","Q9BWP8"
"CFHR5","Q9BXR6"
"CDHR5","B4DV98"
"CDHR5","Q9HBB8"
"CDHR5","Q58EZ6"
"IL1RAP","A8K6K4"
"IL1RAP","Q9NPH3"
"IL1RAP.1",NA
"INPP5E","Q9NRR6"
"C1RL","Q9NZP8"
"C1RL","F5GWF3"
"C1RL","F5H7C8"
"C1RL","Q6P672"
"FETUB","Q9UGM5"
"FETUB","E9PG08"
"FETUB","Q5J875"
"PCYOX1","Q9UHG3"
"SERPINA10","A0A024R6I6"
"SERPINA10","Q9UK55"
"SERPINA10","G3V2W1"
"MAN2B2","B7Z754"
"MAN2B2","E9PCD7"
"MAN2B2","Q9Y2E5"
"ATP11B","B4DKX1"
"ATP11B","B4E3T1"
"ATP11B","Q9Y2G3"
"TLN1","Q9Y490"
"AFG3L2","Q8TA92"
"AFG3L2","Q9Y4W6"
"LYVE1","B2R672"
"LYVE1","Q9Y5Y7"
"FCGBP","Q9Y6R7"
"ZNF10","P21506"
"ZNF10","Q9UG14"
"FAM161B","Q96MY7"
