	25_35	35_45	45_50	50_55	55_60	60_65	65_70	70_76
time	25_35	35_45	45_50	50_55	55_60	60_65	65_70	70_76
M239T181_POS_RPLC	22.6960515722229	22.6507630518586	22.6997537064178	22.4493695995061	22.5601574534234	22.8907411823352	22.5396224629019	23.5475007827889
M240T52_POS_RPLC	23.9009717958187	24.0866992725489	23.854374602788	23.882272898674	23.9503679288641	24.0020114673994	23.9694025354376	23.8189725293123
M241T287_POS_RPLC	26.1514017054098	25.8681507575374	25.9494094678661	25.9344271093977	25.913805015334	25.8802882501671	25.8196170321562	25.5455040913218
M241T429_POS_RPLC	22.7262036318267	25.1711843221152	24.5538387838858	23.5015562924468	24.569349724117	24.3355138838329	24.7605452432324	26.5340677901714
M247T125_POS_RPLC	25.9406593912791	25.9487295243442	26.2428231349938	26.0434961691116	25.6370941873934	25.9455924070983	24.9846175979104	24.1805839799961
M250T475_POS_RPLC	21.619872267731	21.5990692249181	21.5978201770689	21.5416257604158	21.5149672068709	21.5425397852298	21.4834138188623	21.4280196926418
M257T827_POS_RPLC	22.6309539806096	22.9794674638771	22.7972081472749	22.5937239123	22.6924536083527	22.7606907046501	22.7821756842736	22.757096449211
M260T196_POS_RPLC	22.7632129620151	22.9499971453743	22.570802130999	22.9839696765236	22.7721402988936	23.0839671047845	22.6896889250201	22.759227560333
M261T180_POS_RPLC	24.0258531085937	24.252778510857	24.2053807433467	23.7866150275141	24.0057022468013	24.2593242525697	24.0057213643706	25.1117914836149
M261T62_POS_RPLC	22.4522033913672	22.353351570223	22.576277956067	22.2328413869467	22.6112264074021	22.4438361883227	22.4075703448166	22.4396200391149
M263T429_POS_RPLC	25.7428873537483	28.2085342414211	27.0156156590407	26.3741423649003	27.4220859081518	27.1233764436537	27.6871375786982	29.5606581646025
M265T162_POS_RPLC	24.9630284299048	25.6707201075893	25.9052638321473	26.207948064634	25.9788788168934	26.5795859863532	26.3395984720023	26.6415499816475
M266T463_POS_RPLC	21.7821727451633	21.6174681649931	21.5733939990182	21.5713416743307	21.6631666626837	21.6075010355947	21.5006226273683	21.5742832767842
M267T538_POS_RPLC	22.4874197013007	22.5580272679105	22.4664854269557	22.4615797512867	22.4633130678371	22.4780846280121	22.467288167908	22.3780157144849
M269T624_POS_RPLC	26.1576223136636	25.7720189567282	25.820129550797	25.8976663794815	26.1472495764581	26.0710406650809	25.9932920084252	26.2125827787767
