"","variable_id","ENTREZID"
"257","transcriptome_ANKRD13C","81573"
"258","transcriptome_ANKRD13D","338692"
"259","transcriptome_ANKRD17","26057"
"260","transcriptome_ANKRD23","200539"
"261","transcriptome_ANKRD26","22852"
"262","transcriptome_ANKRD27","84079"
"263","transcriptome_ANKRD28","23243"
"264","transcriptome_ANKRD33B","651746"
"265","transcriptome_ANKRD36","375248"
"266","transcriptome_ANKRD37","353322"
"267","transcriptome_ANKRD40","91369"
"268","transcriptome_ANKRD42","338699"
"269","transcriptome_ANKRD44","91526"
"270","transcriptome_ANKRD52","283373"
"271","transcriptome_ANKRD53","79998"
"272","transcriptome_ANKRD55","79722"
"273","transcriptome_ANKRD6","22881"
"274","transcriptome_ANKRD61","100310846"
"275","transcriptome_ANKS3","124401"
"276","transcriptome_ANKZF1","55139"
"277","transcriptome_ANLN","54443"
"278","transcriptome_ANO7","50636"
"279","transcriptome_ANO8","57719"
"280","transcriptome_ANO9","338440"
"281","transcriptome_ANP32A","8125"
"282","transcriptome_ANP32B","10541"
"283","transcriptome_ANPEP","290"
"284","transcriptome_ANTXR1","84168"
"285","transcriptome_ANTXR2","118429"
"286","transcriptome_ANXA1","301"
"287","transcriptome_ANXA10","11199"
"288","transcriptome_ANXA11","311"
"289","transcriptome_ANXA2R","389289"
"290","transcriptome_ANXA4","307"
"291","transcriptome_ANXA5","308"
"292","transcriptome_ANXA6","309"
"293","transcriptome_ANXA9","8416"
"294","transcriptome_AOAH","313"
"295","transcriptome_AP1AR","55435"
"296","transcriptome_AP1B1","162"
"297","transcriptome_AP1G1","164"
"298","transcriptome_AP1G2","8906"
"299","transcriptome_AP1M1","8907"
"300","transcriptome_AP2A1","160"
"301","transcriptome_AP2B1","163"
"302","transcriptome_AP3B1","8546"
"303","transcriptome_AP3B2","8120"
"304","transcriptome_AP3M1","26985"
"305","transcriptome_AP4B1","10717"
"306","transcriptome_AP4S1","11154"
"307","transcriptome_AP5B1","91056"
"308","transcriptome_AP5Z1","9907"
"309","transcriptome_APAF1","317"
"310","transcriptome_APBA2","321"
"311","transcriptome_APBB1","322"
"312","transcriptome_APBB1IP","54518"
"313","transcriptome_APBB2","323"
"314","transcriptome_APBB3","10307"
"315","transcriptome_APC","324"
"316","transcriptome_APC2","10297"
"317","transcriptome_APEH","327"
"318","transcriptome_APEX1","328"
"319","transcriptome_APH1A","51107"
"320","transcriptome_API5","8539"
"321","transcriptome_APLP1","333"
"322","transcriptome_APLP2","334"
"323","transcriptome_APMAP","57136"
"324","transcriptome_APOA2","336"
"325","transcriptome_APOBEC2","10930"
"326","transcriptome_APOBEC4","403314"
"327","transcriptome_APOBR","55911"
"328","transcriptome_APOL1","8542"
"329","transcriptome_APOL2","23780"
"330","transcriptome_APOL3","80833"
"331","transcriptome_APOL6","80830"
"332","transcriptome_APOM","55937"
"333","transcriptome_APPBP2","10513"
"334","transcriptome_APPL1","26060"
"335","transcriptome_APPL2","55198"
"336","transcriptome_AQP11","282679"
"337","transcriptome_AQP3","360"
"338","transcriptome_AQP9","366"
"339","transcriptome_AQR","9716"
"340","transcriptome_AR","367"
"341","transcriptome_ARAP1","116985"
"342","transcriptome_ARAP2","116984"
"343","transcriptome_ARAP3","64411"
"344","transcriptome_ARCN1","372"
"345","transcriptome_ARF3","377"
"346","transcriptome_ARF4","378"
"347","transcriptome_ARF6","382"
"348","transcriptome_ARFGAP1","55738"
"349","transcriptome_ARFGAP2","84364"
"350","transcriptome_ARFGAP3","26286"
"351","transcriptome_ARFGEF1","10565"
"352","transcriptome_ARFGEF2","10564"
"353","transcriptome_ARFRP1","10139"
"354","transcriptome_ARG1","383"
"355","transcriptome_ARG2","384"
"356","transcriptome_ARGLU1","55082"
"357","transcriptome_ARHGAP10","79658"
"358","transcriptome_ARHGAP12","94134"
"359","transcriptome_ARHGAP15","55843"
"360","transcriptome_ARHGAP17","55114"
"361","transcriptome_ARHGAP21","57584"
"362","transcriptome_ARHGAP30","257106"
"363","transcriptome_ARHGAP31","57514"
"364","transcriptome_ARHGAP32","9743"
"365","transcriptome_ARHGAP35","2909"
"366","transcriptome_ARHGAP39","80728"
"367","transcriptome_ARHGAP44","9912"
"368","transcriptome_ARHGAP6","395"
"369","transcriptome_ARHGAP9","64333"
"370","transcriptome_ARHGDIA","396"
"371","transcriptome_ARHGDIB","397"
"372","transcriptome_ARHGEF1","9138"
"373","transcriptome_ARHGEF10L","55160"
"374","transcriptome_ARHGEF11","9826"
"375","transcriptome_ARHGEF12","23365"
"376","transcriptome_ARHGEF17","9828"
"377","transcriptome_ARHGEF18","23370"
"378","transcriptome_ARHGEF26","26084"
"379","transcriptome_ARHGEF3","50650"
"380","transcriptome_ARHGEF33","100271715"
"381","transcriptome_ARHGEF38","54848"
"382","transcriptome_ARHGEF39","84904"
"383","transcriptome_ARHGEF4","50649"
"384","transcriptome_ARHGEF40","55701"
"385","transcriptome_ARHGEF5","7984"
"386","transcriptome_ARHGEF6","9459"
"387","transcriptome_ARHGEF7","8874"
"388","transcriptome_ARHGEF9","23229"
"389","transcriptome_ARID1A","8289"
"390","transcriptome_ARID1B","57492"
"391","transcriptome_ARID3A","1820"
"392","transcriptome_ARID3B","10620"
"393","transcriptome_ARID4A","5926"
"394","transcriptome_ARID5A","10865"
"395","transcriptome_ARIH1","25820"
"396","transcriptome_ARIH2","10425"
"397","transcriptome_ARL13A","392509"
"398","transcriptome_ARL17A","51326"
"399","transcriptome_ARL2BP","23568"
"400","transcriptome_ARL3","403"
"401","transcriptome_ARL4A","10124"
"402","transcriptome_ARL4C","10123"
"403","transcriptome_ARL6IP1","23204"
"404","transcriptome_ARL6IP4","51329"
"405","transcriptome_ARL6IP6","151188"
"406","transcriptome_ARMC10","83787"
"407","transcriptome_ARMC2","84071"
"408","transcriptome_ARMC5","79798"
"409","transcriptome_ARMC6","93436"
